Account,Project Name,Region,Practice,Project Manager,Start Date,End Date,Record ID
Wolters Kluwer Health - Learning Research and Practice,SOW 20 - Support for TheVault,DC,NoSQL,Niels Nielsen,8/31/2014,3/14/2015,a1D70000002KlmY
Wolters Kluwer Health - Learning Research and Practice,SOW 9 The Vault Additional Data,DC,,Niels Nielsen,11/18/2012,12/31/2013,a1D70000001ImwM
Wolters Kluwer Health - Learning Research and Practice,WK-TheVault Support 2015,DC,NoSQL,Niels Nielsen,3/8/2015,12/31/2015,a1D70000002jpPR
Wolters Kluwer Law and Business,Editorial Systems Workshop,DC,NoSQL,Niels Nielsen,8/16/2015,9/12/2015,a1D70000003SYU5
Wolters Kluwer Law and Business,Editorial Workbench Evaluation,DC,,Niels Nielsen,7/27/2014,9/20/2014,a1D70000002Ig1T
Wolters Kluwer Law and Business,RBSource Filings Backend Development-Project,DC,NoSQL,Niels Nielsen,1/3/2016,4/2/2016,a1D39000003Qsaz
Wolters Kluwer Law and Business,SECFT Amendment 6,DC,,Niels Nielsen,9/7/2014,1/3/2015,a1D70000002LIcP
Wolters Kluwer Law and Business,Wolters Kluwer RBSource Support - Amendment 3,DC,,Niels Nielsen,10/27/2013,12/31/2013,a1D70000001ImVG
Wolters Kluwer Law and Business,Wolters Kluwer RBSource Support - Amendment 4,DC,,Niels Nielsen,1/5/2014,3/29/2014,a1D70000001JkGP
Wolters Kluwer Law and Business,Wolters Kluwer RBSource Support - Amendment 5,DC,,Niels Nielsen,3/26/2014,7/11/2014,a1D70000001KHee
,C4WF Web Pages,NATL,,,3/16/2015,4/30/2015,a1D70000002jtWx
